annotation_id,image_id,label_id,x_min,y_min,x_max,y_max,annotation_format,annotation_status
1,PCB_20260510_163459_777344,11,466,441,493,470,bbox,pending
2,PCB_20260510_163459_777344,12,454,300,493,396,bbox,pending
3,PCB_20260510_163459_777344,13,331,248,364,283,bbox,pending
4,PCB_20260510_163459_777344,14,221,314,253,350,bbox,pending
5,PCB_20260510_163459_777344,15,151,149,182,175,bbox,pending
6,PCB_20260510_163459_777344,16,492,28,525,55,bbox,pending
7,PCB_20260510_163459_777344,17,424,24,461,53,bbox,pending
8,PCB_20260510_163459_777344,18,250,341,278,370,bbox,pending
9,PCB_20260510_163459_777344,19,539,259,592,316,bbox,pending
10,PCB_20260510_163459_777344,20,89,469,127,497,bbox,pending
11,PCB_20260510_163459_812473,21,540,140,571,182,bbox,pending
12,PCB_20260510_163459_812473,22,342,492,375,521,bbox,pending
13,PCB_20260510_163459_812473,23,295,353,337,385,bbox,pending
14,PCB_20260510_163459_812473,24,243,182,276,220,bbox,pending
15,PCB_20260510_163459_812473,25,207,306,244,331,bbox,pending
16,PCB_20260510_163459_812473,26,459,73,490,103,bbox,pending
17,PCB_20260510_163459_850936,27,186,603,291,631,bbox,pending
18,PCB_20260510_163459_850936,28,325,226,358,252,bbox,pending
19,PCB_20260510_163459_850936,29,508,227,536,262,bbox,pending
20,PCB_20260510_163459_850936,30,106,262,132,296,bbox,pending
21,PCB_20260510_163459_850936,31,152,394,189,422,bbox,pending
22,PCB_20260510_163459_850936,32,316,464,354,498,bbox,pending
23,PCB_20260510_163459_850936,33,102,450,128,482,bbox,pending
24,PCB_20260510_163459_892819,34,335,265,374,330,bbox,pending
25,PCB_20260510_163459_892819,35,453,270,484,301,bbox,pending
26,PCB_20260510_163459_892819,36,433,404,464,439,bbox,pending
27,PCB_20260510_163459_892819,37,208,490,242,526,bbox,pending
28,PCB_20260510_163459_892819,38,232,84,262,109,bbox,pending
29,PCB_20260510_163459_892819,39,510,95,539,124,bbox,pending
30,PCB_20260510_163459_930760,40,469,438,507,465,bbox,pending
31,PCB_20260510_163459_930760,41,429,279,458,373,bbox,pending
32,PCB_20260510_163459_930760,42,232,184,270,211,bbox,pending
33,PCB_20260510_163459_930760,43,163,356,199,398,bbox,pending
34,PCB_20260510_163459_930760,44,262,92,297,118,bbox,pending
35,PCB_20260510_163459_930760,45,471,256,504,283,bbox,pending
36,PCB_20260510_163459_930760,46,465,173,495,202,bbox,pending
37,PCB_20260510_163459_930760,47,224,78,254,106,bbox,pending
38,PCB_20260510_163459_971385,48,194,429,244,482,bbox,pending
39,PCB_20260510_163459_971385,49,270,455,300,515,bbox,pending
40,PCB_20260510_163459_971385,50,354,457,400,503,bbox,pending
41,PCB_20260510_163459_971385,51,356,509,396,549,bbox,pending
42,PCB_20260510_163459_971385,52,516,326,561,366,bbox,pending
43,PCB_20260510_163459_971385,53,154,148,190,191,bbox,pending
44,PCB_20260510_163459_971385,54,499,599,547,627,bbox,pending
45,PCB_20260510_163459_971385,55,493,429,528,484,bbox,pending
46,PCB_20260510_163459_971385,56,135,488,163,523,bbox,pending
47,PCB_20260510_163500_006214,57,292,430,338,487,bbox,pending
48,PCB_20260510_163500_006214,58,362,426,402,458,bbox,pending
49,PCB_20260510_163500_006214,59,262,349,303,387,bbox,pending
50,PCB_20260510_163500_006214,60,362,251,394,283,bbox,pending
51,PCB_20260510_163500_006214,61,495,375,558,413,bbox,pending
52,PCB_20260510_163500_006214,62,91,315,120,348,bbox,pending
53,PCB_20260510_163500_006214,63,100,232,131,265,bbox,pending
54,PCB_20260510_163500_006214,64,281,233,313,273,bbox,pending
55,PCB_20260510_163500_006214,65,135,154,191,183,bbox,pending
56,PCB_20260510_163500_051400,66,513,376,549,402,bbox,pending
