split_id,image_id,dataset_original_id,split_name,split_method,created_at,notes
1,PCB_20260510_163459_750820,00041000,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
2,PCB_20260510_163459_777344,00041000,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
3,PCB_20260510_163459_793959,00041001,test,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
4,PCB_20260510_163459_812473,00041001,test,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
5,PCB_20260510_163459_831203,00041002,validation,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
6,PCB_20260510_163459_850936,00041002,validation,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
7,PCB_20260510_163459_870680,00041003,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
8,PCB_20260510_163459_892819,00041003,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
9,PCB_20260510_163459_912504,00041004,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
10,PCB_20260510_163459_930760,00041004,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
11,PCB_20260510_163459_950083,00041005,validation,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
12,PCB_20260510_163459_971385,00041005,validation,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
13,PCB_20260510_163459_986309,00041006,test,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
14,PCB_20260510_163500_006214,00041006,test,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
15,PCB_20260510_163500_031218,00041007,test,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
16,PCB_20260510_163500_051400,00041007,test,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
17,PCB_20260510_163500_077408,00041008,test,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
18,PCB_20260510_163500_102271,00041008,test,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
19,PCB_20260510_163500_124654,00041009,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
20,PCB_20260510_163500_149031,00041009,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
21,PCB_20260517_175701_376880,00041010,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
22,PCB_20260517_175701_412301,00041010,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
23,PCB_20260517_175701_428526,00041011,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
24,PCB_20260517_175701_448274,00041011,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
25,PCB_20260517_175701_467682,00041012,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
26,PCB_20260517_175701_487592,00041012,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
27,PCB_20260517_175701_503787,00041013,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
28,PCB_20260517_175701_522307,00041013,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
29,PCB_20260517_175701_544497,00041014,test,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
30,PCB_20260517_175701_565069,00041014,test,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
31,PCB_20260517_175701_584223,00041015,test,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
32,PCB_20260517_175701_603569,00041015,test,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
33,PCB_20260517_175701_621680,00041016,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
34,PCB_20260517_175701_647877,00041016,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
35,PCB_20260517_175701_670362,00041017,test,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
36,PCB_20260517_175701_691463,00041017,test,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
37,PCB_20260517_175701_714022,00041018,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
38,PCB_20260517_175701_735907,00041018,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
39,PCB_20260517_175701_765418,00041019,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
40,PCB_20260517_175701_782662,00041019,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
41,PCB_20260517_175701_800298,00041020,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
42,PCB_20260517_175701_817461,00041020,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
43,PCB_20260517_175701_834030,00041021,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
