label_id,image_id,defect_category,defect_type,severity,detection_method,component_id,roi_id,label_status,reviewer,notes
1,PCB_20260510_163459_750820,Good / Normal,Good / Normal,None,Template comparison,N/A,full_image,pending,auto_import,Automatically labeled from DeepPCB template image filename: 00041000_temp.jpg
2,PCB_20260510_163459_793959,Good / Normal,Good / Normal,None,Template comparison,N/A,full_image,pending,auto_import,Automatically labeled from DeepPCB template image filename: 00041001_temp.jpg
3,PCB_20260510_163459_831203,Good / Normal,Good / Normal,None,Template comparison,N/A,full_image,pending,auto_import,Automatically labeled from DeepPCB template image filename: 00041002_temp.jpg
4,PCB_20260510_163459_870680,Good / Normal,Good / Normal,None,Template comparison,N/A,full_image,pending,auto_import,Automatically labeled from DeepPCB template image filename: 00041003_temp.jpg
5,PCB_20260510_163459_912504,Good / Normal,Good / Normal,None,Template comparison,N/A,full_image,pending,auto_import,Automatically labeled from DeepPCB template image filename: 00041004_temp.jpg
6,PCB_20260510_163459_950083,Good / Normal,Good / Normal,None,Template comparison,N/A,full_image,pending,auto_import,Automatically labeled from DeepPCB template image filename: 00041005_temp.jpg
7,PCB_20260510_163459_986309,Good / Normal,Good / Normal,None,Template comparison,N/A,full_image,pending,auto_import,Automatically labeled from DeepPCB template image filename: 00041006_temp.jpg
8,PCB_20260510_163500_031218,Good / Normal,Good / Normal,None,Template comparison,N/A,full_image,pending,auto_import,Automatically labeled from DeepPCB template image filename: 00041007_temp.jpg
9,PCB_20260510_163500_077408,Good / Normal,Good / Normal,None,Template comparison,N/A,full_image,pending,auto_import,Automatically labeled from DeepPCB template image filename: 00041008_temp.jpg
10,PCB_20260510_163500_124654,Good / Normal,Good / Normal,None,Template comparison,N/A,full_image,pending,auto_import,Automatically labeled from DeepPCB template image filename: 00041009_temp.jpg
11,PCB_20260510_163459_777344,PCB / Pad / Surface Defect,Mouse Bite,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041000.txt
12,PCB_20260510_163459_777344,Electrical / Circuit Defect,Short Circuit,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041000.txt
13,PCB_20260510_163459_777344,PCB / Pad / Surface Defect,Spur,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041000.txt
14,PCB_20260510_163459_777344,PCB / Pad / Surface Defect,Spur,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041000.txt
15,PCB_20260510_163459_777344,PCB / Pad / Surface Defect,Spurious Copper,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041000.txt
16,PCB_20260510_163459_777344,PCB / Pad / Surface Defect,Pin Hole,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041000.txt
17,PCB_20260510_163459_777344,PCB / Pad / Surface Defect,Pin Hole,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041000.txt
18,PCB_20260510_163459_777344,PCB / Pad / Surface Defect,Pin Hole,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041000.txt
19,PCB_20260510_163459_777344,Electrical / Circuit Defect,Open Circuit,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041000.txt
20,PCB_20260510_163459_777344,PCB / Pad / Surface Defect,Spurious Copper,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041000.txt
21,PCB_20260510_163459_812473,Electrical / Circuit Defect,Open Circuit,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041001.txt
