image_id,original_filename,file_path,file_hash,image_width,image_height,image_source,board_id,inspection_side,capture_method,upload_date,status,dataset_name,dataset_original_id,dataset_split,inspection_stage,annotation_available,license_note
PCB_20260510_163459_750820,00041000_temp.jpg,data\images\raw\PCB_20260510_163459_750820.jpg,5cf06db88c51450d2d36b5d71ce972e9,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-10T16:34:59,pending,DeepPCB,00041000,unknown,bare_pcb_surface,no,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260510_163459_777344,00041000_test.jpg,data\images\raw\PCB_20260510_163459_777344.jpg,df94a1fa47919aaa6696179005dae252,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-10T16:34:59,pending,DeepPCB,00041000,unknown,bare_pcb_surface,yes,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260510_163459_793959,00041001_temp.jpg,data\images\raw\PCB_20260510_163459_793959.jpg,581fb04f0672ef298b70b040bb8b2bfb,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-10T16:34:59,pending,DeepPCB,00041001,unknown,bare_pcb_surface,no,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260510_163459_812473,00041001_test.jpg,data\images\raw\PCB_20260510_163459_812473.jpg,45004b05594ff9a7df9c71af724d2e9b,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-10T16:34:59,pending,DeepPCB,00041001,unknown,bare_pcb_surface,yes,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260510_163459_831203,00041002_temp.jpg,data\images\raw\PCB_20260510_163459_831203.jpg,9d298d67c2694c7e56a29ce6873ccbf4,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-10T16:34:59,pending,DeepPCB,00041002,unknown,bare_pcb_surface,no,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260510_163459_850936,00041002_test.jpg,data\images\raw\PCB_20260510_163459_850936.jpg,db63fdca98ea58a8a1dc4fb1f6565ffb,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-10T16:34:59,pending,DeepPCB,00041002,unknown,bare_pcb_surface,yes,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260510_163459_870680,00041003_temp.jpg,data\images\raw\PCB_20260510_163459_870680.jpg,61972f5ce6693389fe301042a944a63d,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-10T16:34:59,pending,DeepPCB,00041003,unknown,bare_pcb_surface,no,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260510_163459_892819,00041003_test.jpg,data\images\raw\PCB_20260510_163459_892819.jpg,75fe402fdfbe9b13fa3267d784c6b1a1,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-10T16:34:59,pending,DeepPCB,00041003,unknown,bare_pcb_surface,yes,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260510_163459_912504,00041004_temp.jpg,data\images\raw\PCB_20260510_163459_912504.jpg,e8be6a3e807e37c17dfbcf53cacbd50a,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-10T16:34:59,pending,DeepPCB,00041004,unknown,bare_pcb_surface,no,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260510_163459_930760,00041004_test.jpg,data\images\raw\PCB_20260510_163459_930760.jpg,78d130bf9507fa64f8c36c5b6278f3b7,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-10T16:34:59,pending,DeepPCB,00041004,unknown,bare_pcb_surface,yes,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260510_163459_950083,00041005_temp.jpg,data\images\raw\PCB_20260510_163459_950083.jpg,f773af9e98e515407be889792841571c,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-10T16:34:59,pending,DeepPCB,00041005,unknown,bare_pcb_surface,no,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260510_163459_971385,00041005_test.jpg,data\images\raw\PCB_20260510_163459_971385.jpg,2258325b80ab10fd99be7b0e035d4ccc,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-10T16:34:59,pending,DeepPCB,00041005,unknown,bare_pcb_surface,yes,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260510_163459_986309,00041006_temp.jpg,data\images\raw\PCB_20260510_163459_986309.jpg,c49b45d324c4e34562b15bff202e9785,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-10T16:34:59,pending,DeepPCB,00041006,unknown,bare_pcb_surface,no,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260510_163500_006214,00041006_test.jpg,data\images\raw\PCB_20260510_163500_006214.jpg,08ae93d6906cd59134b886c35deed749,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-10T16:35:00,pending,DeepPCB,00041006,unknown,bare_pcb_surface,yes,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260510_163500_031218,00041007_temp.jpg,data\images\raw\PCB_20260510_163500_031218.jpg,c23e4e0f26c51326dfe14f5d4c08dabd,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-10T16:35:00,pending,DeepPCB,00041007,unknown,bare_pcb_surface,no,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260510_163500_051400,00041007_test.jpg,data\images\raw\PCB_20260510_163500_051400.jpg,c82144b5507bf5b42ff4cdacb98750b5,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-10T16:35:00,pending,DeepPCB,00041007,unknown,bare_pcb_surface,yes,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260510_163500_077408,00041008_temp.jpg,data\images\raw\PCB_20260510_163500_077408.jpg,2596dc3a969f78b13ee3ab5bf343fa84,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-10T16:35:00,pending,DeepPCB,00041008,unknown,bare_pcb_surface,no,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260510_163500_102271,00041008_test.jpg,data\images\raw\PCB_20260510_163500_102271.jpg,4ba83ede5f908e3644f83fc70fe2d95d,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-10T16:35:00,pending,DeepPCB,00041008,unknown,bare_pcb_surface,yes,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260510_163500_124654,00041009_temp.jpg,data\images\raw\PCB_20260510_163500_124654.jpg,4fec6ebec52791c296126b81861d8073,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-10T16:35:00,pending,DeepPCB,00041009,unknown,bare_pcb_surface,no,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260510_163500_149031,00041009_test.jpg,data\images\raw\PCB_20260510_163500_149031.jpg,dd1a3ccd3501530a5f73e34c2cd566f5,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-10T16:35:00,pending,DeepPCB,00041009,unknown,bare_pcb_surface,yes,DeepPCB public GitHub dataset; verify use conditions before commercial use
